,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
19098,7548,The Libertine,en,9/16/04,9,September,2004,5.9,12.446,FALSE
9265,5137,Sky Captain and the World of Tomorrow,en,9/17/04,9,September,2004,5.8,17.629,FALSE
19265,5137,Sky Captain and the World of Tomorrow,en,9/17/04,9,September,2004,5.8,17.629,FALSE
8587,10555,Shark Tale,en,9/20/04,9,September,2004,6,40.216,FALSE
18587,10555,Shark Tale,en,9/20/04,9,September,2004,6,40.216,FALSE
9771,15566,Surviving Christmas,en,9/21/04,9,September,2004,5.7,10.871,FALSE
19771,15566,Surviving Christmas,en,9/21/04,9,September,2004,5.7,10.871,FALSE
3035,11636,New Police Story,cn,9/23/04,9,September,2004,7.1,28.369,FALSE
13035,11636,New Police Story,cn,9/23/04,9,September,2004,7.1,28.369,FALSE
1146,24653,The Consequences of Love,it,9/24/04,9,September,2004,7.6,10.151,FALSE
7999,13969,First Daughter,en,9/24/04,9,September,2004,6.1,15.893,FALSE
8992,10145,The Forgotten,en,9/24/04,9,September,2004,5.9,12.906,FALSE
11146,24653,The Consequences of Love,it,9/24/04,9,September,2004,7.6,10.151,FALSE
17999,13969,First Daughter,en,9/24/04,9,September,2004,6.1,15.893,FALSE
18992,10145,The Forgotten,en,9/24/04,9,September,2004,5.9,12.906,FALSE
1456,15165,Barbie as The Princess & the Pauper,en,9/28/04,9,September,2004,7.5,41.525,FALSE
11456,15165,Barbie as The Princess & the Pauper,en,9/28/04,9,September,2004,7.5,41.525,FALSE
3034,12877,Dead Man's Shoes,en,9/29/04,9,September,2004,7.1,8.713,FALSE
13034,12877,Dead Man's Shoes,en,9/29/04,9,September,2004,7.1,8.713,FALSE
3953,4836,Layer Cake,en,9/30/04,9,September,2004,6.9,13.683,FALSE
13953,4836,Layer Cake,en,9/30/04,9,September,2004,6.9,13.683,FALSE
1852,176,Saw,en,10/1/04,10,October,2004,7.4,44.988,FALSE
6716,11128,Ladder 49,en,10/1/04,10,October,2004,6.4,13.906,FALSE
11852,176,Saw,en,10/1/04,10,October,2004,7.4,44.988,FALSE
16716,11128,Ladder 49,en,10/1/04,10,October,2004,6.4,13.906,FALSE
8855,39386,The Corsican File,fr,10/6/04,10,October,2004,6,8.141,FALSE
18855,39386,The Corsican File,fr,10/6/04,10,October,2004,6,8.141,FALSE
3924,13416,Friday Night Lights,en,10/8/04,10,October,2004,6.9,13.422,FALSE
4617,14337,Primer,en,10/8/04,10,October,2004,6.8,23.219,FALSE
5872,34560,Halloweentown High,en,10/8/04,10,October,2004,6.6,10.348,FALSE
13924,13416,Friday Night Lights,en,10/8/04,10,October,2004,6.9,13.422,FALSE
14617,14337,Primer,en,10/8/04,10,October,2004,6.8,23.219,FALSE
15872,34560,Halloweentown High,en,10/8/04,10,October,2004,6.6,10.348,FALSE
5143,3989,Team America: World Police,en,10/10/04,10,October,2004,6.7,15.124,FALSE
9830,438,Cube Zero,en,10/10/04,10,October,2004,5.7,19.46,FALSE
15143,3989,Team America: World Police,en,10/10/04,10,October,2004,6.7,15.124,FALSE
19830,438,Cube Zero,en,10/10/04,10,October,2004,5.7,19.46,FALSE
2779,25126,Six Shooter,en,10/14/04,10,October,2004,7.2,4.872,FALSE
12779,25126,Six Shooter,en,10/14/04,10,October,2004,7.2,4.872,FALSE
643,1280,3-Iron,ko,10/15/04,10,October,2004,7.8,12.002,FALSE
6692,4380,Shall We Dance?,en,10/15/04,10,October,2004,6.4,12.808,FALSE
8579,11099,The Final Cut,en,10/15/04,10,October,2004,6,14.245,FALSE
10643,1280,3-Iron,ko,10/15/04,10,October,2004,7.8,12.002,FALSE
16692,4380,Shall We Dance?,en,10/15/04,10,October,2004,6.4,12.808,FALSE
18579,11099,The Final Cut,en,10/15/04,10,October,2004,6,14.245,FALSE
2156,866,Finding Neverland,en,10/17/04,10,October,2004,7.3,17.994,FALSE
12156,866,Finding Neverland,en,10/17/04,10,October,2004,7.3,17.994,FALSE
2705,11109,Vera Drake,en,10/22/04,10,October,2004,7.2,7.885,FALSE
3223,9675,Sideways,en,10/22/04,10,October,2004,7.1,16.378,FALSE
9161,1970,The Grudge,en,10/22/04,10,October,2004,5.9,24.222,FALSE
9460,8849,Alfie,en,10/22/04,10,October,2004,5.8,13.634,FALSE
12705,11109,Vera Drake,en,10/22/04,10,October,2004,7.2,7.885,FALSE
13223,9675,Sideways,en,10/22/04,10,October,2004,7.1,16.378,FALSE
19161,1970,The Grudge,en,10/22/04,10,October,2004,5.9,24.222,FALSE
19460,8849,Alfie,en,10/22/04,10,October,2004,5.8,13.634,FALSE
2827,276,The Edukators,de,10/25/04,10,October,2004,7.2,6.679,FALSE
12827,276,The Edukators,de,10/25/04,10,October,2004,7.2,6.679,FALSE
2169,2841,A Very Long Engagement,fr,10/26/04,10,October,2004,7.3,11.104,FALSE
12169,2841,A Very Long Engagement,fr,10/26/04,10,October,2004,7.3,11.104,FALSE
868,9806,The Incredibles,en,10/27/04,10,October,2004,7.7,53.5,FALSE
10868,9806,The Incredibles,en,10/27/04,10,October,2004,7.7,53.5,FALSE
1649,1677,Ray,en,10/29/04,10,October,2004,7.4,36.418,FALSE
7548,9688,Melinda and Melinda,en,10/29/04,10,October,2004,6.2,8.797,FALSE
9076,10740,Birth,en,10/29/04,10,October,2004,5.9,11.168,FALSE
11649,1677,Ray,en,10/29/04,10,October,2004,7.4,36.418,FALSE
17548,9688,Melinda and Melinda,en,10/29/04,10,October,2004,6.2,8.797,FALSE
19076,10740,Birth,en,10/29/04,10,October,2004,5.9,11.168,FALSE
6256,12242,Mulan II,en,11/3/04,11,November,2004,6.5,41.772,FALSE
16256,12242,Mulan II,en,11/3/04,11,November,2004,6.5,41.772,FALSE
578,15859,A Moment to Remember,ko,11/5/04,11,November,2004,7.8,11.378,FALSE
6743,58508,Far Far Away Idol,en,11/5/04,11,November,2004,6.4,10.037,FALSE
10578,15859,A Moment to Remember,ko,11/5/04,11,November,2004,7.8,11.378,FALSE
16743,58508,Far Far Away Idol,en,11/5/04,11,November,2004,6.4,10.037,FALSE
4830,10045,District B13,fr,11/9/04,11,November,2004,6.8,15.462,FALSE
14830,10045,District B13,fr,11/9/04,11,November,2004,6.8,15.462,FALSE
5112,5255,The Polar Express,en,11/10/04,11,November,2004,6.7,33.666,FALSE
7466,9801,Bridget Jones: The Edge of Reason,en,11/10/04,11,November,2004,6.2,16.642,FALSE
15112,5255,The Polar Express,en,11/10/04,11,November,2004,6.7,33.666,FALSE
17466,9801,Bridget Jones: The Edge of Reason,en,11/10/04,11,November,2004,6.2,16.642,FALSE
1729,4251,Veer-Zaara,hi,11/12/04,11,November,2004,7.4,9.28,FALSE
1997,27275,G.O.R.A.,tr,11/12/04,11,November,2004,7.4,8.177,FALSE
7954,10589,After the Sunset,en,11/12/04,11,November,2004,6.2,17.076,FALSE
9021,41171,Noel,en,11/12/04,11,November,2004,5.9,8.879,FALSE
11729,4251,Veer-Zaara,hi,11/12/04,11,November,2004,7.4,9.28,FALSE
11997,27275,G.O.R.A.,tr,11/12/04,11,November,2004,7.4,8.177,FALSE
17954,10589,After the Sunset,en,11/12/04,11,November,2004,6.2,17.076,FALSE
19021,41171,Noel,en,11/12/04,11,November,2004,5.9,8.879,FALSE
3666,11836,The SpongeBob SquarePants Movie,en,11/14/04,11,November,2004,7,49.932,FALSE
13666,11836,The SpongeBob SquarePants Movie,en,11/14/04,11,November,2004,7,49.932,FALSE
3539,13378,Mickey's Twice Upon a Christmas,en,11/15/04,11,November,2004,7,15.067,FALSE
13539,13378,Mickey's Twice Upon a Christmas,en,11/15/04,11,November,2004,7,15.067,FALSE
5654,2059,National Treasure,en,11/19/04,11,November,2004,6.6,31.82,FALSE
15654,2059,National Treasure,en,11/19/04,11,November,2004,6.6,31.82,FALSE
5829,12924,The Place Promised in Our Early Days,ja,11/20/04,11,November,2004,6.6,12.498,FALSE
15829,12924,The Place Promised in Our Early Days,ja,11/20/04,11,November,2004,6.6,12.498,FALSE
9039,1966,Alexander,en,11/21/04,11,November,2004,5.9,22.065,FALSE
19039,1966,Alexander,en,11/21/04,11,November,2004,5.9,22.065,FALSE
4391,7291,36th Precinct,fr,11/24/04,11,November,2004,6.8,10.013,FALSE
8044,13673,Christmas with the Kranks,en,11/24/04,11,November,2004,6.1,15.621,FALSE
14391,7291,36th Precinct,fr,11/24/04,11,November,2004,6.8,10.013,FALSE
18044,13673,Christmas with the Kranks,en,11/24/04,11,November,2004,6.1,15.621,FALSE
4449,2288,Closer,en,12/3/04,12,December,2004,6.8,19.106,FALSE
4547,11162,The Merchant of Venice,en,12/3/04,12,December,2004,6.8,14.881,FALSE
14449,2288,Closer,en,12/3/04,12,December,2004,6.8,19.106,FALSE
14547,11162,The Merchant of Venice,en,12/3/04,12,December,2004,6.8,14.881,FALSE
3517,15767,Godzilla: Final Wars,ja,12/4/04,12,December,2004,7,20.563,FALSE
13517,15767,Godzilla: Final Wars,ja,12/4/04,12,December,2004,7,20.563,FALSE
2317,9833,The Phantom of the Opera,en,12/8/04,12,December,2004,7.3,22.772,FALSE
9247,36648,Blade: Trinity,en,12/8/04,12,December,2004,5.9,29.71,FALSE
12317,9833,The Phantom of the Opera,en,12/8/04,12,December,2004,7.3,22.772,FALSE
19247,36648,Blade: Trinity,en,12/8/04,12,December,2004,5.9,29.71,FALSE
5862,163,Ocean's Twelve,en,12/9/04,12,December,2004,6.6,38.005,FALSE
15862,163,Ocean's Twelve,en,12/9/04,12,December,2004,6.6,38.005,FALSE
3052,421,The Life Aquatic with Steve Zissou,en,12/10/04,12,December,2004,7.1,19.635,FALSE
13052,421,The Life Aquatic with Steve Zissou,en,12/10/04,12,December,2004,7.1,19.635,FALSE
370,70,Million Dollar Baby,en,12/15/04,12,December,2004,8,28.03,FALSE
4931,57112,Tu la conosci Claudia?,it,12/15/04,12,December,2004,6.7,6.071,FALSE
10370,70,Million Dollar Baby,en,12/15/04,12,December,2004,8,28.03,FALSE
14931,57112,Tu la conosci Claudia?,it,12/15/04,12,December,2004,6.7,6.071,FALSE
4546,11774,Lemony Snicket's A Series of Unfortunate Events,en,12/16/04,12,December,2004,6.8,24.215,FALSE
14546,11774,Lemony Snicket's A Series of Unfortunate Events,en,12/16/04,12,December,2004,6.8,24.215,FALSE
2440,15774,Swades,hi,12/17/04,12,December,2004,7.3,13.971,FALSE
2558,2567,The Aviator,en,12/17/04,12,December,2004,7.2,29.029,FALSE
8717,2539,Spanglish,en,12/17/04,12,December,2004,6,16.093,FALSE
8860,11866,Flight of the Phoenix,en,12/17/04,12,December,2004,6,15.342,FALSE
12440,15774,Swades,hi,12/17/04,12,December,2004,7.3,13.971,FALSE
12558,2567,The Aviator,en,12/17/04,12,December,2004,7.2,29.029,FALSE
18717,2539,Spanglish,en,12/17/04,12,December,2004,6,16.093,FALSE
18860,11866,Flight of the Phoenix,en,12/17/04,12,December,2004,6,15.342,FALSE
7574,693,Meet the Fockers,en,12/22/04,12,December,2004,6.2,25.527,FALSE
17574,693,Meet the Fockers,en,12/22/04,12,December,2004,6.2,25.527,FALSE
3926,9692,The Woodsman,en,12/24/04,12,December,2004,6.9,10.162,FALSE
13926,9692,The Woodsman,en,12/24/04,12,December,2004,6.9,10.162,FALSE
2812,11328,Pusher II,da,12/25/04,12,December,2004,7.2,9.094,FALSE
12812,11328,Pusher II,da,12/25/04,12,December,2004,7.2,9.094,FALSE
9125,14172,Wake of Death,en,12/28/04,12,December,2004,5.9,11.688,FALSE
19125,14172,Wake of Death,en,12/28/04,12,December,2004,5.9,11.688,FALSE
8851,1901,In Good Company,en,12/29/04,12,December,2004,6,15.802,FALSE
18851,1901,In Good Company,en,12/29/04,12,December,2004,6,15.802,FALSE
9211,6439,Racing Stripes,en,1/6/05,1,January,2005,5.9,15.707,FALSE
19211,6439,Racing Stripes,en,1/6/05,1,January,2005,5.9,15.707,FALSE
1211,7214,Coach Carter,en,1/14/05,1,January,2005,7.6,59.798,FALSE
4494,2652,Hard Candy,en,1/14/05,1,January,2005,6.8,17.562,FALSE
11211,7214,Coach Carter,en,1/14/05,1,January,2005,7.6,59.798,FALSE
14494,2652,Hard Candy,en,1/14/05,1,January,2005,6.8,17.562,FALSE
7175,5289,Chaos,en,1/17/05,1,January,2005,6.3,17.709,FALSE
17175,5289,Chaos,en,1/17/05,1,January,2005,6.3,17.709,FALSE
8038,8978,Assault on Precinct 13,en,1/19/05,1,January,2005,6.1,13.417,FALSE
18038,8978,Assault on Precinct 13,en,1/19/05,1,January,2005,6.1,13.417,FALSE
9997,11637,Are We There Yet?,en,1/20/05,1,January,2005,5.6,15.591,FALSE
19997,11637,Are We There Yet?,en,1/20/05,1,January,2005,5.6,15.591,FALSE
5564,20760,Lilo & Stitch 2: Stitch Has a Glitch,en,1/22/05,1,January,2005,6.6,30.685,FALSE
15564,20760,Lilo & Stitch 2: Stitch Has a Glitch,en,1/22/05,1,January,2005,6.6,30.685,FALSE
7641,11354,The Upside of Anger,en,1/23/05,1,January,2005,6.2,13.409,FALSE
17641,11354,The Upside of Anger,en,1/23/05,1,January,2005,6.2,13.409,FALSE
6273,14517,MirrorMask,en,1/25/05,1,January,2005,6.5,7.715,FALSE
16273,14517,MirrorMask,en,1/25/05,1,January,2005,6.5,7.715,FALSE
6967,11096,Hide and Seek,en,1/27/05,1,January,2005,6.3,15.22,FALSE
16967,11096,Hide and Seek,en,1/27/05,1,January,2005,6.3,15.22,FALSE
179,20941,Innocent Voices,es,1/28/05,1,January,2005,8.2,12.714,FALSE
10179,20941,Innocent Voices,es,1/28/05,1,January,2005,8.2,12.714,FALSE
1165,1544,Imagine Me & You,en,2/1/05,2,February,2005,7.6,15.657,FALSE
11165,1544,Imagine Me & You,en,2/1/05,2,February,2005,7.6,15.657,FALSE
4096,10027,Unleashed,en,2/2/05,2,February,2005,6.9,19.834,FALSE
14096,10027,Unleashed,en,2/2/05,2,February,2005,6.9,19.834,FALSE
4642,6961,The Wedding Date,en,2/4/05,2,February,2005,6.8,14.77,FALSE
14642,6961,The Wedding Date,en,2/4/05,2,February,2005,6.8,14.77,FALSE
2708,24615,Aloha Scooby-Doo!,en,2/8/05,2,February,2005,7.2,21.304,FALSE
3403,561,Constantine,en,2/8/05,2,February,2005,7,54.225,FALSE
12708,24615,Aloha Scooby-Doo!,en,2/8/05,2,February,2005,7.2,21.304,FALSE
13403,561,Constantine,en,2/8/05,2,February,2005,7,54.225,FALSE
4530,13682,Pooh's Heffalump Movie,en,2/11/05,2,February,2005,6.8,15.993,FALSE
5935,8488,Hitch,en,2/11/05,2,February,2005,6.5,20.899,FALSE
14530,13682,Pooh's Heffalump Movie,en,2/11/05,2,February,2005,6.8,15.993,FALSE
15935,8488,Hitch,en,2/11/05,2,February,2005,6.5,20.899,FALSE
2600,9701,North Country,en,2/12/05,2,February,2005,7.2,16.544,FALSE
12600,9701,North Country,en,2/12/05,2,February,2005,7.2,16.544,FALSE
2843,2117,Sophie Scholl: The Final Days,de,2/13/05,2,February,2005,7.2,11.81,FALSE
12843,2117,Sophie Scholl: The Final Days,de,2/13/05,2,February,2005,7.2,11.81,FALSE
6908,17880,Because of Winn-Dixie,en,2/18/05,2,February,2005,6.4,11.079,FALSE
16908,17880,Because of Winn-Dixie,en,2/18/05,2,February,2005,6.4,11.079,FALSE
9612,13498,Man of the House,en,2/25/05,2,February,2005,5.7,13.34,FALSE
19612,13498,Man of the House,en,2/25/05,2,February,2005,5.7,13.34,FALSE
4134,9667,The Jacket,en,3/4/05,3,March,2005,6.9,14.29,FALSE
8417,10022,The Pacifier,en,3/4/05,3,March,2005,6.1,25.159,FALSE
14134,9667,The Jacket,en,3/4/05,3,March,2005,6.9,14.29,FALSE
18417,10022,The Pacifier,en,3/4/05,3,March,2005,6.1,25.159,FALSE
9224,12517,Calvaire,fr,3/9/05,3,March,2005,5.9,7.336,FALSE
19224,12517,Calvaire,fr,3/9/05,3,March,2005,5.9,7.336,FALSE
6598,9928,Robots,en,3/10/05,3,March,2005,6.4,40.722,FALSE
7030,2026,Hostage,en,3/10/05,3,March,2005,6.3,22.783,FALSE
16598,9928,Robots,en,3/10/05,3,March,2005,6.4,40.722,FALSE
17030,2026,Hostage,en,3/10/05,3,March,2005,6.3,22.783,FALSE
9646,10040,Miss Congeniality 2: Armed and Fabulous,en,3/11/05,3,March,2005,5.7,21.288,FALSE
19646,10040,Miss Congeniality 2: Armed and Fabulous,en,3/11/05,3,March,2005,5.7,21.288,FALSE
9542,14457,Reeker,en,3/13/05,3,March,2005,5.8,8.29,FALSE
19542,14457,Reeker,en,3/13/05,3,March,2005,5.8,8.29,FALSE
2176,13932,Jack-Jack Attack,en,3/15/05,3,March,2005,7.3,9.954,FALSE
12176,13932,Jack-Jack Attack,en,3/15/05,3,March,2005,7.3,9.954,FALSE
3975,1553,The Beat That My Heart Skipped,fr,3/16/05,3,March,2005,6.9,8.048,FALSE
13975,1553,The Beat That My Heart Skipped,fr,3/16/05,3,March,2005,6.9,8.048,FALSE
6746,13374,Ice Princess,en,3/17/05,3,March,2005,6.4,15.157,FALSE
9671,10320,The Ring Two,en,3/17/05,3,March,2005,5.7,19.945,FALSE
16746,13374,Ice Princess,en,3/17/05,3,March,2005,6.4,15.157,FALSE
19671,10320,The Ring Two,en,3/17/05,3,March,2005,5.7,19.945,FALSE
9633,20068,The Manual of Love,it,3/18/05,3,March,2005,5.7,8.893,FALSE
19633,20068,The Manual of Love,it,3/18/05,3,March,2005,5.7,8.893,FALSE
8789,11638,Guess Who,en,3/25/05,3,March,2005,6,13.641,FALSE
18789,11638,Guess Who,en,3/25/05,3,March,2005,6,13.641,FALSE
1187,11171,Mysterious Skin,en,3/30/05,3,March,2005,7.6,16.93,FALSE
11187,11171,Mysterious Skin,en,3/30/05,3,March,2005,7.6,16.93,FALSE
1411,11344,A Bittersweet Life,ko,3/31/05,3,March,2005,7.5,11.301,FALSE
11411,11344,A Bittersweet Life,ko,3/31/05,3,March,2005,7.5,11.301,FALSE
1651,187,Sin City,en,4/1/05,4,April,2005,7.4,28.833,FALSE
11651,187,Sin City,en,4/1/05,4,April,2005,7.4,28.833,FALSE
2603,844,2046,zh,4/4/05,4,April,2005,7.2,17.489,FALSE
12603,844,2046,zh,4/4/05,4,April,2005,7.2,17.489,FALSE
7662,11431,Fever Pitch,en,4/6/05,4,April,2005,6.2,14.236,FALSE
9230,7364,Sahara,en,4/6/05,4,April,2005,5.9,17.336,FALSE
17662,11431,Fever Pitch,en,4/6/05,4,April,2005,6.2,14.236,FALSE
19230,7364,Sahara,en,4/6/05,4,April,2005,5.9,17.336,FALSE
7258,179,The Interpreter,en,4/8/05,4,April,2005,6.3,21.861,FALSE
17258,179,The Interpreter,en,4/8/05,4,April,2005,6.3,21.861,FALSE
8176,10065,The Amityville Horror,en,4/14/05,4,April,2005,6.1,20.189,FALSE
18176,10065,The Amityville Horror,en,4/14/05,4,April,2005,6.1,20.189,FALSE
1501,1023,Adam's Apples,da,4/15/05,4,April,2005,7.5,7.577,FALSE
11501,1023,Adam's Apples,da,4/15/05,4,April,2005,7.5,7.577,FALSE
9636,10799,Empire of the Wolves,fr,4/20/05,4,April,2005,5.7,10.663,FALSE
19636,10799,Empire of the Wolves,fr,4/20/05,4,April,2005,5.7,10.663,FALSE
2783,98622,9,en,4/21/05,4,April,2005,7.2,4.929,FALSE
4666,8976,A Lot Like Love,en,4/21/05,4,April,2005,6.8,13.127,FALSE
12783,98622,9,en,4/21/05,4,April,2005,7.2,4.929,FALSE
14666,8976,A Lot Like Love,en,4/21/05,4,April,2005,6.8,13.127,FALSE
7526,14177,Beauty Shop,en,4/22/05,4,April,2005,6.2,13.037,FALSE
17526,14177,Beauty Shop,en,4/22/05,4,April,2005,6.2,13.037,FALSE
5351,7453,The Hitchhiker's Guide to the Galaxy,en,4/28/05,4,April,2005,6.7,19.064,FALSE
15351,7453,The Hitchhiker's Guide to the Galaxy,en,4/28/05,4,April,2005,6.7,19.064,FALSE
9027,10066,House of Wax,en,4/30/05,4,April,2005,5.9,38.861,FALSE
19027,10066,House of Wax,en,4/30/05,4,April,2005,5.9,38.861,FALSE
4139,1495,Kingdom of Heaven,en,5/3/05,5,May,2005,6.9,32.182,FALSE
14139,1495,Kingdom of Heaven,en,5/3/05,5,May,2005,6.9,32.182,FALSE
7699,9709,My Summer of Love,en,5/5/05,5,May,2005,6.2,12.697,FALSE
17699,9709,My Summer of Love,en,5/5/05,5,May,2005,6.2,12.697,FALSE
2551,1640,Crash,en,5/6/05,5,May,2005,7.2,20.082,FALSE
12551,1640,Crash,en,5/6/05,5,May,2005,7.2,20.082,FALSE
7096,11653,The Myth,zh,5/11/05,5,May,2005,6.3,14.561,FALSE
17096,11653,The Myth,zh,5/11/05,5,May,2005,6.3,14.561,FALSE
4806,16411,Initial D,cn,5/12/05,5,May,2005,6.8,14.65,FALSE
7342,9515,The Matador,en,5/12/05,5,May,2005,6.3,11.438,FALSE
14806,16411,Initial D,cn,5/12/05,5,May,2005,6.8,14.65,FALSE
17342,9515,The Matador,en,5/12/05,5,May,2005,6.3,11.438,FALSE
7775,4379,Monster-in-Law,en,5/13/05,5,May,2005,6.2,16.706,FALSE
9467,9981,Kicking & Screaming,en,5/13/05,5,May,2005,5.8,11.246,FALSE
17775,4379,Monster-in-Law,en,5/13/05,5,May,2005,6.2,16.706,FALSE
19467,9981,Kicking & Screaming,en,5/13/05,5,May,2005,5.8,11.246,FALSE
3927,1951,Manderlay,da,5/16/05,5,May,2005,6.9,13.472,FALSE
13927,1951,Manderlay,da,5/16/05,5,May,2005,6.9,13.472,FALSE
1786,1895,Star Wars: Episode III - Revenge of the Sith,en,5/17/05,5,May,2005,7.4,31.53,FALSE
11786,1895,Star Wars: Episode III - Revenge of the Sith,en,5/17/05,5,May,2005,7.4,31.53,FALSE
4183,953,Madagascar,en,5/25/05,5,May,2005,6.9,68.716,FALSE
14183,953,Madagascar,en,5/25/05,5,May,2005,6.9,68.716,FALSE
1552,11421,C.R.A.Z.Y.,fr,5/27/05,5,May,2005,7.5,6.856,FALSE
5552,9291,The Longest Yard,en,5/27/05,5,May,2005,6.6,30.938,FALSE
11552,11421,C.R.A.Z.Y.,fr,5/27/05,5,May,2005,7.5,6.856,FALSE
15552,9291,The Longest Yard,en,5/27/05,5,May,2005,6.6,30.938,FALSE
6241,9779,The Sisterhood of the Traveling Pants,en,6/1/05,6,June,2005,6.5,13.085,FALSE
16241,9779,The Sisterhood of the Traveling Pants,en,6/1/05,6,June,2005,6.5,13.085,FALSE
1283,921,Cinderella Man,en,6/2/05,6,June,2005,7.5,22.744,FALSE
11283,921,Cinderella Man,en,6/2/05,6,June,2005,7.5,22.744,FALSE
3180,9787,Lords of Dogtown,en,6/3/05,6,June,2005,7.1,18.615,FALSE
13180,9787,Lords of Dogtown,en,6/3/05,6,June,2005,7.1,18.615,FALSE
5278,787,Mr. & Mrs. Smith,en,6/7/05,6,June,2005,6.7,40.153,FALSE
15278,787,Mr. & Mrs. Smith,en,6/7/05,6,June,2005,6.7,40.153,FALSE
877,272,Batman Begins,en,6/10/05,6,June,2005,7.7,55.759,FALSE
10877,272,Batman Begins,en,6/10/05,6,June,2005,7.7,55.759,FALSE
8397,15657,Tarzan II,en,6/13/05,6,June,2005,6.1,25.173,FALSE
18397,15657,Tarzan II,en,6/13/05,6,June,2005,6.1,25.173,FALSE
5553,1826,Russian Dolls,fr,6/15/05,6,June,2005,6.6,10.809,FALSE
15553,1826,Russian Dolls,fr,6/15/05,6,June,2005,6.6,10.809,FALSE
3483,1382,Me and You and Everyone We Know,en,6/17/05,6,June,2005,7,9.238,FALSE
8394,15648,The Perfect Man,en,6/17/05,6,June,2005,6.1,12.812,FALSE
13483,1382,Me and You and Everyone We Know,en,6/17/05,6,June,2005,7,9.238,FALSE
18394,15648,The Perfect Man,en,6/17/05,6,June,2005,6.1,12.812,FALSE
7765,11683,Land of the Dead,en,6/18/05,6,June,2005,6.2,19.611,FALSE
17765,11683,Land of the Dead,en,6/18/05,6,June,2005,6.2,19.611,FALSE
2320,13933,One Man Band,en,6/21/05,6,June,2005,7.3,7.07,FALSE
12320,13933,One Man Band,en,6/21/05,6,June,2005,7.3,7.07,FALSE
9748,11451,Herbie Fully Loaded,en,6/22/05,6,June,2005,5.7,27.772,FALSE
19748,11451,Herbie Fully Loaded,en,6/22/05,6,June,2005,5.7,27.772,FALSE
6227,74,War of the Worlds,en,6/28/05,6,June,2005,6.5,47.002,FALSE
16227,74,War of the Worlds,en,6/28/05,6,June,2005,6.5,47.002,FALSE
9521,9738,Fantastic Four,en,6/29/05,6,June,2005,5.8,24.582,FALSE
19521,9738,Fantastic Four,en,6/29/05,6,June,2005,5.8,24.582,FALSE
3826,9392,The Descent,en,7/8/05,7,July,2005,7,18.927,FALSE
9945,9009,Dark Water,en,7/8/05,7,July,2005,5.6,13.164,FALSE
13826,9392,The Descent,en,7/8/05,7,July,2005,7,18.927,FALSE
19945,9009,Dark Water,en,7/8/05,7,July,2005,5.6,13.164,FALSE
3439,118,Charlie and the Chocolate Factory,en,7/13/05,7,July,2005,7,71.772,FALSE
6370,9522,Wedding Crashers,en,7/13/05,7,July,2005,6.5,22.991,FALSE
13439,118,Charlie and the Chocolate Factory,en,7/13/05,7,July,2005,7,71.772,FALSE
16370,9522,Wedding Crashers,en,7/13/05,7,July,2005,6.5,22.991,FALSE
2953,647,Final Fantasy VII: Advent Children,ja,7/14/05,7,July,2005,7.1,19.151,FALSE
12953,647,Final Fantasy VII: Advent Children,ja,7/14/05,7,July,2005,7.1,19.151,FALSE
3716,34067,Pokémon: Lucario and the Mystery of Mew,ja,7/16/05,7,July,2005,7,23.881,FALSE
13716,34067,Pokémon: Lucario and the Mystery of Mew,ja,7/16/05,7,July,2005,7,23.881,FALSE
2446,14003,Fullmetal Alchemist the Movie: Conqueror of Shamballa,ja,7/21/05,7,July,2005,7.3,17.778,FALSE
5372,1635,The Island,en,7/21/05,7,July,2005,6.7,26.921,FALSE
9146,11648,Must Love Dogs,en,7/21/05,7,July,2005,5.9,13.247,FALSE
12446,14003,Fullmetal Alchemist the Movie: Conqueror of Shamballa,ja,7/21/05,7,July,2005,7.3,17.778,FALSE
15372,1635,The Island,en,7/21/05,7,July,2005,6.7,26.921,FALSE
19146,11648,Must Love Dogs,en,7/21/05,7,July,2005,5.9,13.247,FALSE
3002,10476,Hustle & Flow,en,7/22/05,7,July,2005,7.1,12.781,FALSE
4878,1696,The Devil's Rejects,en,7/22/05,7,July,2005,6.7,20.579,FALSE
9210,13341,Bad News Bears,en,7/22/05,7,July,2005,5.9,14.505,FALSE
13002,10476,Hustle & Flow,en,7/22/05,7,July,2005,7.1,12.781,FALSE
14878,1696,The Devil's Rejects,en,7/22/05,7,July,2005,6.7,20.579,FALSE
19210,13341,Bad News Bears,en,7/22/05,7,July,2005,5.9,14.505,FALSE
3855,65215,Stewie Griffin: The Untold Story,en,7/23/05,7,July,2005,7,17.153,FALSE
13855,65215,Stewie Griffin: The Untold Story,en,7/23/05,7,July,2005,7,17.153,FALSE
1223,4550,Lady Vengeance,ko,7/29/05,7,July,2005,7.6,18.663,FALSE
5630,9913,The Skeleton Key,en,7/29/05,7,July,2005,6.6,16.214,FALSE
7515,11459,Sky High,en,7/29/05,7,July,2005,6.2,26.605,FALSE
11223,4550,Lady Vengeance,ko,7/29/05,7,July,2005,7.6,18.663,FALSE
15630,9913,The Skeleton Key,en,7/29/05,7,July,2005,6.6,16.214,FALSE
17515,11459,Sky High,en,7/29/05,7,July,2005,6.2,26.605,FALSE
7159,9335,Transporter 2,en,8/3/05,8,August,2005,6.3,26.583,FALSE
17159,9335,Transporter 2,en,8/3/05,8,August,2005,6.3,26.583,FALSE
